# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-51 c,Confirmed,0.013,0.001,0.001,,,,0.803,0.152,0.25,85.312,0.002,0.003,0.384,0.015,0.015,0.014,0.009,0.013,,,,,2012,2021-02-05,,,,,,,2455725.509,0.003,0.003,2455128.32095,0.0022,0.0022,,,,,,,1.017,0.023,0.034,,,,,,,439.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19455514+4956156 c, K00620.03, KIC 11773022 c, KOI-620 c, KOI-620.03, WISE J194555.14+495615.6  c",,Kepler-51,296.479776,49.937683,15.0,,13.562,13.219,,801.76,13.96,13.96,,,,1.04,0.12,0.12,0.94,0.5,0.5,,0.3,-2.3,2.3,6018.0,107.0,107.0,,,"2MASS J19455514+4956156, KIC 11773022, KOI-620, WISE J194555.14+495615.6"
Kepler-51 d,Confirmed,0.024,0.003,0.003,,,,0.865,0.045,0.045,130.194,0.005,0.002,0.509,0.02,0.02,0.008,0.008,0.011,,,,,2014,2021-02-05,,,,,,,2455695.9323,0.0004,0.0004,2455695.9323,0.0004,0.0004,,,,,,,0.25,0.141,0.075,,,,,,,381.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-620.02, 2MASS J19455514+4956156 d, K00620.02, KIC 11773022 d, KOI-620 d, WISE J194555.14+495615.6  d",,Kepler-51,296.479776,49.937683,15.0,,13.562,13.219,,801.76,13.96,13.96,,,,1.04,0.12,0.12,0.94,0.5,0.5,,0.3,-2.3,2.3,6018.0,107.0,107.0,,,"2MASS J19455514+4956156, KIC 11773022, KOI-620, WISE J194555.14+495615.6"
Kepler-510 b,Confirmed,,,,,,,0.22,0.011,0.021,19.55659418,3.606e-05,3.606e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455022.04399,0.00141,0.00141,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19103720+3914394 b, K00281.01, KIC 4143755 b, KOI-281 b, KOI-281.01, WISE J191037.19+391439.1 b",,Kepler-510,287.655008,39.24428,,,10.836,10.486,10.446,378.0,,,-0.35,0.079,0.095,0.91,0.05,0.06,1.41,0.05,0.06,,10.47,-2.1,2.3,5746.0,58.76,66.6,,,"2MASS J19103720+3914394, KIC 4143755, KOI-281, WISE J191037.19+391439.1"
Kepler-511 b,Confirmed,,,,,,,0.567,0.091,0.125,296.637865,0.0004472,0.0004472,,,,,,,,,,,2016,2021-02-05,,,,,,,2455236.672788,0.000944,0.000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18514696+4734295 b, K00289.02, KIC 10386922 b, KOI-289 b, KOI-289.02, WISE J185146.93+473429.7 b",,Kepler-511,282.945693,47.574875,,,11.534,11.22,11.187,448.0,,,0.01,0.153,0.071,1.0,0.06,0.06,1.2,0.19,0.32,,7.94,-1.99,1.3,5770.0,56.66,52.35,,,"2MASS J18514696+4734295, KIC 10386922, KOI-289, WISE J185146.93+473429.7"
Kepler-512 b,Confirmed,,,,,,,0.24,0.028,0.044,34.43587975,8.258e-05,8.258e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455026.03913,0.00165,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19530455+4855002 b, K00294.01, KIC 11259686 b, KOI-294 b, KOI-294.01, WISE J195304.54+485500.2 b",,Kepler-512,298.26896,48.91674,,,11.617,11.347,11.315,531.0,,,0.22,0.076,0.082,1.17,0.05,0.07,1.3,0.15,0.24,,3.72,-1.5,1.0,5997.0,67.77,75.84,,,"2MASS J19530455+4855002, KIC 11259686, KOI-294, WISE J195304.54+485500.2"
Kepler-513 b,Confirmed,,,,,,,0.196,0.018,0.028,28.86235584,6.735e-05,6.735e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455011.48474,0.00177,0.00177,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19001000+5004313 b, K00296.01, KIC 11802615 b, KOI-296 b, KOI-296.01, WISE J190009.99+500431.4 b",,Kepler-513,285.041686,50.075375,,,11.846,11.551,11.469,467.0,,,-0.01,0.112,0.096,1.02,0.04,0.04,1.06,0.1,0.15,,5.5,-3.01,1.9,5849.0,55.43,61.71,,,"2MASS J19001000+5004313, KIC 11802615, KOI-296, WISE J190009.99+500431.4"
Kepler-514 b,Confirmed,,,,,,,0.153,0.017,0.025,5.65179605,1.087e-05,1.087e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455005.27893,0.00144,0.00144,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19045932+5014326 b, K00297.01, KIC 11905011 b, KOI-297 b, KOI-297.01, Kepler-514 A b, WISE J190459.30+501432.5 b",,Kepler-514,286.247188,50.242409,,,11.202,10.906,10.875,489.0,,,0.36,0.071,0.067,1.28,0.05,0.07,1.44,0.16,0.23,,2.69,-0.901,0.5,6106.0,68.2,72.75,,,"2MASS J19045932+5014326, KIC 11905011, KOI-297, Kepler-514 A, WISE J190459.30+501432.5"
Kepler-515 b,Confirmed,,,,,,,0.13,0.004,0.005,19.96371318,5.659e-05,5.659e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455011.30562,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19215853+5203201 b, K00298.01, KIC 12785320 b, KOI-298 b, KOI-298.01, Kepler-515 A b, WISE J192158.54+520319.4 b",,Kepler-515,290.493913,52.055611,,,11.295,10.946,10.885,255.0,,,0.08,0.112,0.139,0.9,0.03,0.03,0.83,0.03,0.03,,3.39,-1.77,3.43,5293.0,61.29,49.66,,,"2MASS J19215853+5203201, KIC 12785320, KOI-298, Kepler-515 A, WISE J192158.54+520319.4"
Kepler-516 b,Confirmed,,,,,,,0.512,0.103,0.128,24.85462415,2.819e-05,2.819e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455007.000979,0.00093,0.00093,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19422610+3844086 b, K00302.01, KIC 3662838 b, KOI-302 b, KOI-302.01, WISE J194226.10+384408.6 b",,Kepler-516,295.608779,38.735736,,,11.18,11.053,10.987,777.0,,,0.01,0.159,0.157,1.62,0.17,0.18,2.02,0.41,0.5,,1.32,-0.19,0.28,7099.0,234.72,172.5,,,"2MASS J19422610+3844086, KIC 3662838, KOI-302, WISE J194226.10+384408.6"
Kepler-517 b,Confirmed,,,,,,,0.238,0.02,0.029,60.92832271,7.053e-05,7.053e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455006.370519,0.000981,0.000981,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19344207+4117432 b, K00303.01, KIC 5966322 b, KOI-303 b, KOI-303.01, Kepler-517 A b, WISE J193442.09+411743.2 b",,Kepler-517,293.675335,41.295348,,,11.02,10.667,10.631,284.0,,,-0.06,0.115,0.106,0.95,0.04,0.04,0.98,0.08,0.12,,6.31,-3.81,3.15,5690.0,68.99,85.16,,,"2MASS J19344207+4117432, KIC 5966322, KOI-303, Kepler-517 A, WISE J193442.09+411743.2"
Kepler-518 b,Confirmed,,,,,,,0.188,0.004,0.004,8.51203588,4.5e-06,4.5e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2455007.909799,0.000424,0.000424,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19082159+4122259 b, K00304.01, KIC 6029239 b, KOI-304 b, KOI-304.01, WISE J190821.60+412225.6 b",,Kepler-518,287.089972,41.373873,,,11.472,11.192,11.109,324.0,,,-0.23,0.083,0.079,0.96,0.02,0.02,0.88,0.02,0.02,,1.35,-0.24,0.47,5842.0,51.77,57.63,,,"2MASS J19082159+4122259, KIC 6029239, KOI-304, WISE J190821.60+412225.6"
Kepler-519 b,Confirmed,,,,,,,0.187,0.004,0.005,24.3078946,2.446e-05,2.446e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455011.364426,0.000866,0.000866,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19571668+4123047 b, K00306.01, KIC 6071903 b, KOI-306 b, KOI-306.01, Kepler-519 A b, WISE J195716.68+412304.8 b",,Kepler-519,299.319538,41.384647,,,11.258,10.793,10.761,234.0,,,0.01,0.091,0.092,0.89,0.03,0.02,0.8,0.01,0.01,,1.91,-0.602,1.26,5260.0,70.24,74.38,,,"2MASS J19571668+4123047, KIC 6071903, KOI-306, Kepler-519 A, WISE J195716.68+412304.8"
Kepler-52 b,Confirmed,8.7,8.7,0.0,,,,0.187,,,7.8773565,3.8e-05,3.8e-05,,,,,,,,,,,2012,2021-02-05,,,,,,,2455009.37692,0.0015,0.0015,2455009.37692,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Theoretical,"2MASS J19065712+4958327 b, K00775.02, KIC 11754553 b, KOI-775 b, KOI-775.02, WISE J190657.12+495832.6  b",,Kepler-52,286.738033,49.97575,15.5,,13.153,12.507,,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,M0 V,,,,4263.0,100.0,100.0,,,"2MASS J19065712+4958327, KIC 11754553, KOI-775, WISE J190657.12+495832.6"
Kepler-52 c,Confirmed,10.41,nan,0.0,,,,0.164,,,16.3850021,0.00014,0.00014,,,,,,,,,,,2012,2021-02-05,,,,,,,2455005.72549,0.0027,0.0027,2455005.72549,0.0027,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Theoretical,"2MASS J19065712+4958327 c, K00775.01, KIC 11754553 c, KOI-775 c, KOI-775.01, WISE J190657.12+495832.6  c",,Kepler-52,286.738033,49.97575,15.5,,13.153,12.507,,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,M0 V,,,,4263.0,100.0,100.0,,,"2MASS J19065712+4958327, KIC 11754553, KOI-775, WISE J190657.12+495832.6"
Kepler-52 d,Confirmed,,,,,,,0.174,0.019,0.019,36.445171,0.000253,0.000253,0.182,,,,,,,,,,2014,2021-02-05,,,,,,,2454984.60115,0.00388,0.00388,,,,,,,,,,0.76,0.29,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19065712+4958327 d, K00775.03, KIC 11754553 d, KOI-775 d, KOI-775.03, WISE J190657.12+495832.6  d",,Kepler-52,286.738033,49.97575,15.5,,13.153,12.507,,324.54,2.43,2.43,,,,0.54,,,0.56,0.02,0.02,M0 V,,,,4263.0,100.0,100.0,,,"2MASS J19065712+4958327, KIC 11754553, KOI-775, WISE J190657.12+495832.6"
Kepler-520 b,Confirmed,,,,,,,0.148,0.009,0.025,19.67416124,5.245e-05,5.245e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455009.26985,0.0019,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19324327+4137039 b, K00307.01, KIC 6289257 b, KOI-307 b, KOI-307.01, WISE J193243.24+413704.0 b",,Kepler-520,293.180322,41.617763,,,11.806,11.552,11.488,492.0,,,-0.03,0.099,0.094,1.1,0.04,0.04,1.09,0.05,0.05,,2.04,-0.619,1.07,6112.0,60.87,68.96,,,"2MASS J19324327+4137039, KIC 6289257, KOI-307, WISE J193243.24+413704.0"
Kepler-520 c,Confirmed,,,,,,,0.095,0.004,0.006,5.21104261,1.231e-05,1.231e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454964.53958,0.00199,0.00199,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19324327+4137039 c, K00307.02, KIC 6289257 c, KOI-307 c, KOI-307.02, WISE J193243.24+413704.0 c",,Kepler-520,293.180322,41.617763,,,11.806,11.552,11.488,492.0,,,-0.03,0.099,0.094,1.1,0.04,0.04,1.09,0.05,0.05,,2.04,-0.619,1.07,6112.0,60.87,68.96,,,"2MASS J19324327+4137039, KIC 6289257, KOI-307, WISE J193243.24+413704.0"
Kepler-521 b,Confirmed,,,,,,,0.284,0.021,0.028,22.20813214,4.013e-05,4.013e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455039.35915,0.00133,0.00133,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19551593+4359529 b, K00317.01, KIC 8121310 b, KOI-317 b, KOI-317.01, WISE J195515.93+435952.9 b",,Kepler-521,298.816376,43.998039,,,11.915,11.745,11.67,737.0,,,0.25,0.084,0.078,1.34,0.06,0.06,1.46,0.11,0.14,,1.78,-0.499,0.632,6406.0,86.67,90.67,,,"2MASS J19551593+4359529, KIC 8121310, KOI-317, WISE J195515.93+435952.9"
Kepler-522 b,Confirmed,,,,,,,0.616,0.108,0.134,38.58422849,4.568e-05,4.568e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455007.833446,0.000869,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19123695+4404077 b, K00318.01, KIC 8156120 b, KOI-318 b, KOI-318.01, WISE J191236.95+440407.7 b",,Kepler-522,288.153996,44.068821,,,11.302,11.092,11.068,749.0,,,0.41,0.039,0.038,1.54,0.11,0.14,1.98,0.35,0.43,,1.7,-0.25,0.23,6392.0,64.51,72.53,,,"2MASS J19123695+4404077, KIC 8156120, KOI-318, WISE J191236.95+440407.7"
Kepler-523 b,Confirmed,,,,,,,0.175,0.005,0.007,5.83598311,4.66e-06,4.66e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2455002.875149,0.000624,0.000624,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18561467+4530246 b, K00323.01, KIC 9139084 b, KOI-323 b, KOI-323.01, WISE J185614.66+453024.5 b",,Kepler-523,284.06113,45.506855,,,11.283,10.908,10.827,270.0,,,-0.03,0.109,0.095,0.93,0.03,0.03,0.86,0.03,0.02,,2.45,-1.02,1.76,5515.0,48.73,51.74,,,"2MASS J18561467+4530246, KIC 9139084, KOI-323, WISE J185614.66+453024.5"
Kepler-524 b,Confirmed,,,,,,,0.17,0.011,0.012,7.97419807,2.038e-05,2.038e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455007.52833,0.00196,0.00196,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19472621+4909433 b, K00330.01, KIC 11361646 b, KOI-330 b, KOI-330.01, WISE J194726.20+490943.3 b",,Kepler-524,296.859217,49.162048,,,12.729,12.46,12.384,730.0,,,0.02,0.081,0.081,1.09,0.04,0.04,1.1,0.06,0.08,,3.02,-1.34,1.67,6014.0,86.17,75.23,,,"2MASS J19472621+4909433, KIC 11361646, KOI-330, WISE J194726.20+490943.3"
Kepler-524 c,Confirmed,,,,,,,0.086,0.006,0.007,1.88897906,1.07e-05,1.07e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454965.0974,0.00543,0.00543,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19472621+4909433 c, K00330.02, KIC 11361646 c, KOI-330 c, KOI-330.02, WISE J194726.20+490943.3 c",,Kepler-524,296.859217,49.162048,,,12.729,12.46,12.384,730.0,,,0.02,0.081,0.081,1.09,0.04,0.04,1.1,0.06,0.08,,3.02,-1.34,1.67,6014.0,86.17,75.23,,,"2MASS J19472621+4909433, KIC 11361646, KOI-330, WISE J194726.20+490943.3"
Kepler-525 b,Confirmed,,,,,,,0.235,0.046,0.034,18.68404933,5.589e-05,5.589e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455003.83222,0.00236,0.00236,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19444402+4721315 b, K00331.01, KIC 10285631 b, KOI-331 b, KOI-331.01, WISE J194444.02+472131.6 b",,Kepler-525,296.183433,47.358761,,,12.248,11.885,11.798,566.0,,,0.11,0.082,0.085,0.95,0.04,0.04,1.15,0.18,0.16,,10.47,-4.47,2.2,5573.0,79.46,77.72,,,"2MASS J19444402+4721315, KIC 10285631, KOI-331, WISE J194444.02+472131.6"
Kepler-526 b,Confirmed,,,,,,,0.178,0.015,0.014,5.45849832,9.07e-06,9.07e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2455005.0888,0.00125,0.00125,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19503622+4723466 b, K00332.01, KIC 10290666 b, KOI-332 b, KOI-332.01, WISE J195036.22+472346.4 b",,Kepler-526,297.650933,47.396294,,,11.91,11.569,11.475,504.0,,,0.34,0.069,0.07,1.15,0.04,0.04,1.14,0.06,0.07,,2.14,-0.832,1.31,5894.0,84.44,80.86,,,"2MASS J19503622+4723466, KIC 10290666, KOI-332, WISE J195036.22+472346.4"
Kepler-527 b,Confirmed,,,,,,,0.253,0.041,0.12,13.28535633,2.409e-05,2.409e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455002.8621,0.00143,0.00143,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234989+4724226 b, K00333.01, KIC 10337258 b, KOI-333 b, KOI-333.01, WISE J192349.89+472422.6 b",,Kepler-527,290.957911,47.406284,,,12.424,12.188,12.125,901.0,,,0.03,0.16,0.122,1.28,0.12,0.22,1.45,0.24,0.69,,2.4,-0.685,0.727,6388.0,136.67,115.33,,,"2MASS J19234989+4724226, KIC 10337258, KOI-333, WISE J192349.89+472422.6"
Kepler-528 b,Confirmed,,,,,,,0.186,0.017,0.026,19.78297415,6.532e-05,6.532e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455010.72336,0.00247,0.00247,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19424435+4744530 b, K00337.01, KIC 10545066 b, KOI-337 b, KOI-337.01, WISE J194244.36+474453.1 b",,Kepler-528,295.684814,47.748081,,,12.795,12.488,12.409,711.0,,,0.02,0.098,0.09,1.01,0.04,0.04,1.06,0.1,0.15,,5.5,-2.97,2.3,5807.0,81.11,96.43,,,"2MASS J19424435+4744530, KIC 10545066, KOI-337, WISE J194244.36+474453.1"
Kepler-529 b,Confirmed,,,,,,,0.166,0.015,0.022,1.98035766,2.31e-06,2.31e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2455003.139026,0.000879,0.000879,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19033320+4752493 b, K00339.01, KIC 10587105 b, KOI-339 b, KOI-339.01, WISE J190333.21+475249.2 b",,Kepler-529,285.888369,47.880386,,,12.786,12.466,12.418,787.0,,,-0.1,0.122,0.115,1.07,0.06,0.06,1.14,0.1,0.15,,3.98,-1.89,1.41,6087.0,64.04,70.08,,,"2MASS J19033320+4752493, KIC 10587105, KOI-339, WISE J190333.21+475249.2"
Kepler-529 c,Confirmed,,,,,,,0.178,0.019,0.037,12.8345022,3.659e-05,3.659e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454971.32478,0.0024,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19033320+4752493 c, K00339.02, KIC 10587105 c, KOI-339 c, KOI-339.02, WISE J190333.21+475249.2 c",,Kepler-529,285.888369,47.880386,,,12.786,12.466,12.418,787.0,,,-0.1,0.122,0.115,1.07,0.06,0.06,1.14,0.1,0.15,,3.98,-1.89,1.41,6087.0,64.04,70.08,,,"2MASS J19033320+4752493, KIC 10587105, KOI-339, WISE J190333.21+475249.2"
Kepler-53 b,Confirmed,18.41,18.41,0.0,,,,0.258,,,18.6489525,0.00016,0.00016,,,,,,,,,,,2012,2021-02-05,,,,,,,2455007.77608,0.0029,0.0029,2455007.77608,0.0029,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Theoretical,"2MASS J19215082+4033448 b, K00829.01, KIC 5358241 b, KOI-829 b, KOI-829.01, WISE J192150.81+403344.9  b",,Kepler-53,290.461775,40.562462,16.0,,14.252,13.906,,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,,5858.0,,,,,"2MASS J19215082+4033448, KIC 5358241, KOI-829, WISE J192150.81+403344.9"
Kepler-53 c,Confirmed,15.74,,,,,,0.283,,,38.5583038,0.00041,0.00041,,,,,,,,,,,2012,2021-02-05,,,,,,,2454996.84816,0.0038,0.0038,2454996.84816,0.0038,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Theoretical,"2MASS J19215082+4033448 c, K00829.03, KIC 5358241 c, KOI-829 c, KOI-829.03, WISE J192150.81+403344.9  c",,Kepler-53,290.461775,40.562462,16.0,,14.252,13.906,,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,,5858.0,,,,,"2MASS J19215082+4033448, KIC 5358241, KOI-829, WISE J192150.81+403344.9"
Kepler-53 d,Confirmed,,,,,,,0.189,0.094,0.094,9.751962,7.7e-05,7.7e-05,0.091,,,,,,,,,,2014,2021-02-05,,,,,,,2454971.7852,0.0043,0.0043,,,,,,,,,,0.81,0.33,0.33,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19215082+4033448 d, K00829.02, KIC 5358241 d, KOI-829 d, KOI-829.02, WISE J192150.81+403344.9  d",,Kepler-53,290.461775,40.562462,16.0,,14.252,13.906,,1420.1,67.44,67.44,,,,0.98,,,0.89,,,,,,,5858.0,,,,,"2MASS J19215082+4033448, KIC 5358241, KOI-829, WISE J192150.81+403344.9"
Kepler-530 b,Confirmed,,,,,,,0.269,0.009,0.015,39.30941904,4.834e-05,4.834e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455004.334643,0.000929,0.000929,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18532166+4832565 b, K00344.01, KIC 11015108 b, KOI-344 b, KOI-344.01, Kepler-530 A b, WISE J185321.66+483256.4 b",,Kepler-530,283.340288,48.549046,,,12.303,11.939,11.9,464.0,,,-0.08,0.093,0.098,0.97,0.03,0.03,0.89,0.03,0.03,,1.78,-0.493,0.919,5697.0,50.16,56.57,,,"2MASS J18532166+4832565, KIC 11015108, KOI-344, Kepler-530 A, WISE J185321.66+483256.4"
Kepler-531 b,Confirmed,,,,,,,0.248,0.017,0.007,29.88485741,3.246e-05,3.246e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455006.194425,0.000896,0.000896,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19060595+4841009 b, K00345.01, KIC 11074541 b, KOI-345 b, KOI-345.01, WISE J190605.93+484100.8 b",,Kepler-531,286.524812,48.683601,,,11.772,11.245,11.177,254.0,,,-0.03,0.106,0.103,0.78,0.03,0.03,0.75,0.02,0.02,,7.76,-4.9,4.65,4893.0,49.34,47.74,,,"2MASS J19060595+4841009, KIC 11074541, KOI-345, WISE J190605.93+484100.8"
Kepler-532 b,Confirmed,,,,,,,0.229,0.012,0.019,12.92491623,1.23e-05,1.23e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455003.785885,0.000701,0.000701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19543861+4836229 b, K00346.01, KIC 11100383 b, KOI-346 b, KOI-346.01, WISE J195438.62+483622.8 b",,Kepler-532,298.660915,48.606373,,,12.014,11.616,11.545,325.0,,,0.0,0.105,0.107,0.87,0.03,0.03,0.79,0.02,0.02,,2.0,-0.621,1.35,5192.0,82.15,82.8,,,"2MASS J19543861+4836229, KIC 11100383, KOI-346, WISE J195438.62+483622.8"
Kepler-533 b,Confirmed,,,,,,,0.302,0.029,0.007,28.51120525,2.321e-05,2.321e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455020.363548,0.000618,0.000618,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19344457+4849305 b, K00348.01, KIC 11194032 b, KOI-348 b, KOI-348.01, WISE J193444.57+484930.1 b",,Kepler-533,293.685736,48.825146,,,12.335,11.778,11.683,305.0,,,0.01,0.101,0.104,0.78,0.03,0.02,0.72,0.02,0.01,,3.24,-1.53,2.75,4758.0,40.01,53.5,,,"2MASS J19344457+4849305, KIC 11194032, KOI-348, WISE J193444.57+484930.1"
Kepler-534 b,Confirmed,,,,,,,0.2,0.006,0.007,15.95994513,2.216e-05,2.216e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2455004.52201,0.00107,0.00107,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19454045+4932243 b, K00354.01, KIC 11568987 b, KOI-354 b, KOI-354.01, WISE J194540.61+493223.6 b",,Kepler-534,296.418559,49.540104,,,12.063,11.775,11.708,473.0,,,0.01,0.081,0.08,1.05,0.03,0.03,0.98,0.03,0.03,,1.58,-0.329,0.664,5884.0,76.49,73.37,,,"2MASS J19454045+4932243, KIC 11568987, KOI-354, WISE J194540.61+493223.6"
Kepler-535 b,Confirmed,,,,,,,0.211,0.019,0.029,4.90332155,4.54e-06,4.54e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2455005.900713,0.000768,0.000768,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19461599+4941465 b, K00355.01, KIC 11621223 b, KOI-355 b, KOI-355.01, WISE J194615.98+494146.2 b",,Kepler-535,296.566641,49.696251,,,12.141,11.915,11.845,678.0,,,0.13,0.075,0.082,1.18,0.04,0.06,1.27,0.11,0.18,,3.24,-1.28,0.857,6123.0,69.56,74.81,,,"2MASS J19461599+4941465, KIC 11621223, KOI-355, WISE J194615.98+494146.2"
